TimeRange	Bookings	Costing	New
00:00	0	0	7
00:10	0	0	3
00:20	0	0	1
00:30	0	0	4
00:40	0	0	3
00:50	0	0	3
01:00	0	0	0
01:10	0	0	0
01:20	0	0	1
01:30	0	0	1
01:40	0	0	1
01:50	0	0	0
02:00	0	0	0
02:10	0	0	0
02:20	0	0	0
02:30	0	0	0
02:40	0	0	2
02:50	0	0	0
03:00	0	0	2
03:10	0	0	0
03:20	0	0	0
03:30	0	0	0
03:40	0	0	0
03:50	0	0	0
04:00	0	0	0
04:10	0	0	1
04:20	0	0	0
04:30	0	0	0
04:40	0	0	0
04:50	0	0	0
05:00	0	0	0
05:10	0	0	0
05:20	0	0	0
05:30	0	0	2
05:40	0	0	2
05:50	0	0	2
06:00	0	0	1
06:10	0	1	1
06:20	0	0	1
06:30	0	0	3
06:40	0	0	3
06:50	0	0	3
07:00	0	1	3
07:10	0	0	4
07:20	0	1	9
07:30	0	1	6
07:40	0	1	10
07:50	0	0	1
08:00	0	1	4
08:10	0	0	7
08:20	0	1	6
08:30	2	0	4
08:40	0	0	1
08:50	0	0	4
09:00	0	0	5
09:10	1	1	6
09:20	0	0	7
09:30	1	0	16
09:40	0	0	7
09:50	1	1	7
10:00	1	1	11
10:10	1	0	6
10:20	2	0	6
10:30	1	0	14
10:40	0	0	10
10:50	0	0	11
11:00	0	0	11
11:10	0	0	10
11:20	0	0	12
11:30	1	1	13
11:40	2	1	19
11:50	0	0	11
12:00	1	0	15
12:10	1	1	21
12:20	0	0	5
12:30	0	0	16
12:40	0	0	18
12:50	1	0	19
13:00	1	0	18
13:10	0	0	24
13:20	0	0	16
13:30	0	0	23
13:40	0	0	12
13:50	1	0	22
14:00	0	0	14
14:10	2	0	8
14:20	0	1	13
14:30	0	0	12
14:40	0	0	16
14:50	3	0	18
15:00	0	0	15
15:10	1	0	26
15:20	0	0	9
15:30	2	0	11
15:40	0	0	15
15:50	1	1	23
16:00	1	0	14
16:10	1	0	23
16:20	1	0	20
16:30	1	0	12
16:40	1	0	19
16:50	1	0	22
17:00	0	0	18
17:10	1	0	13
17:20	0	0	19
17:30	0	0	15
17:40	0	0	20
17:50	1	0	12
18:00	0	0	12
18:10	0	0	11
18:20	0	0	23
18:30	1	0	28
18:40	0	0	11
18:50	0	1	19
19:00	1	0	17
19:10	2	0	21
19:20	1	0	17
19:30	0	0	19
19:40	1	0	25
19:50	0	0	15
20:00	1	0	19
20:10	1	0	20
20:20	0	0	16
20:30	1	1	24
20:40	1	0	19
20:50	0	0	21
21:00	0	0	19
21:10	1	0	23
21:20	0	0	25
21:30	0	0	20
21:40	0	0	14
21:50	0	0	20
22:00	0	0	9
22:10	0	0	0
22:20	4	5	5
22:30	0	0	0
22:40	0	0	0
22:50	0	0	0
23:00	0	0	0
23:10	0	0	0
23:20	0	0	0
23:30	0	0	0
23:40	0	0	0
23:50	0	0	0
