TimeRange	ErrorCount
00:00	0
00:10	0
00:20	1
00:30	0
00:40	2
00:50	0
01:00	0
01:10	0
01:20	0
01:30	0
01:40	0
01:50	0
02:00	0
02:10	0
02:20	0
02:30	0
02:40	0
02:50	2
03:00	0
03:10	0
03:20	2
03:30	3
03:40	0
03:50	2
04:00	0
04:10	1
04:20	2
04:30	0
04:40	5
04:50	0
05:00	0
05:10	0
05:20	2
05:30	5
05:40	4
05:50	0
06:00	5
06:10	16
06:20	66
06:30	2
06:40	3
06:50	6
07:00	9
07:10	33
07:20	14
07:30	3
07:40	1
07:50	1
08:00	6
08:10	6
08:20	4
08:30	1
08:40	2
08:50	5
09:00	4
09:10	20
09:20	16
09:30	11
09:40	18
09:50	3
10:00	7
10:10	5
10:20	17
10:30	5
10:40	21
10:50	10
11:00	15
11:10	14
11:20	16
11:30	26
11:40	17
11:50	19
12:00	2
12:10	7
12:20	8
12:30	3
12:40	28
12:50	21
13:00	20
13:10	11
13:20	10
13:30	0
13:40	3
13:50	8
14:00	10
14:10	10
14:20	5
14:30	8
14:40	16
14:50	19
15:00	4
15:10	8
15:20	16
15:30	16
15:40	13
15:50	11
16:00	13
16:10	21
16:20	27
16:30	7
16:40	13
16:50	29
17:00	11
17:10	6
17:20	7
17:30	19
17:40	22
17:50	19
18:00	4
18:10	9
18:20	4
18:30	19
18:40	9
18:50	5
19:00	26
19:10	14
19:20	5
19:30	4
19:40	20
19:50	9
20:00	19
20:10	14
20:20	14
20:30	8
20:40	10
20:50	7
21:00	9
21:10	4
21:20	3
21:30	4
21:40	5
21:50	1
22:00	0
22:10	0
22:20	0
22:30	0
22:40	0
22:50	0
23:00	0
23:10	0
23:20	0
23:30	0
23:40	0
23:50	0
